id,question,A,B,C,D,answer,analysis,action,principle
10,在甲县居住的雷某在乙县自驾游期间因涉嫌危险驾驶罪被乙县公安机关查获。关于本案的办理，下列说法是正确的是？,因为雷某涉嫌的是危险驾驶罪，所以对其不适用逮捕,如乙县公安机关决定对雷某取保候审，可以要求雷某不得离开乙县,如乙县公安机关决定对雷某取保候审，可以要求雷某上交驾驶证件、身份证,乙县公安机关拘留雷某后，至迟不超过24小时应当将雷某送看守所羁押,D,A项，根据全国人大常委会关于《刑事诉讼法》第八十一条第3款，对于被取保候审监视居住的，可能判处徒刑以下刑罚的犯罪嫌疑人，被告人违反取保候审监视居住规定，严重影响诉讼活动正常进行的可以予以逮捕，因此对于雷某并不适用逮捕。因此A项错误。B项，根据《刑事诉讼法》第七十一条的规定，被取保候审的人未经执行机关批准，不得离开所居住的市、县。本题中的雷某是在甲县居住，故B项错误。C项，根据《刑事诉讼法》第七十一条的规定，公安机关可以责令被取保候审的人将护照等出入境证件驾驶证件交执行机关保存，但不包括身份证，故C项错误。D项，根据《刑事诉讼法》第八十五条的规定，拘留后应当立即将被拘留人送看守所羁押，至迟不得超过24小时，故D项正确。,设计一个法律情境,<《刑事诉讼法》第八十一条规定，对有证据证明有犯罪事实，可能判处徒刑以上刑罚的犯罪嫌疑人、被告人，采取取保候审尚不足以防止发生下列社会危险性的，应当予以逮捕:（一）可能实施新的犯罪的；（二）有危害国家安全、公共安全或者社会秩序的现实危险的；（三）可能毁灭、伪造证据，干扰证人作证或者串供的；（四）可能对被害人、举报人、控告人实施打击报复的；（五）企图自杀或者逃跑的。批准或者决定逮捕，应当将犯罪嫌疑人、被告人涉嫌犯罪的性质、情节，认罪认罚等情况，作为是否可能发生社会危险性的考虑因素。对有证据证明有犯罪事实，可能判处十年有期徒刑以上刑罚的，或者有证据证明有犯罪事实，可能判处徒刑以上刑罚，曾经故意犯罪或者身份不明的，应当予以逮捕。被取保候审、监视居住的犯罪嫌疑人、被告人违反取保候审、监视居住规定，情节严重的，可以予以逮捕。> <《刑事诉讼法》第七十一条，被取保候审的犯罪嫌疑人、被告人应当遵守以下规定:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守以下一项或者多项规定:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。被取保候审的犯罪嫌疑人、被告人违反前两款规定，已交纳保证金的，没收部分或者全部保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人，或者监视居住、予以逮捕。对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。> <《刑事诉讼法》第八十五条规定，公安机关拘留人的时候，必须出示拘留证。拘留后，应当立即将被拘留人送看守所羁押，至迟不得超过二十四小时。除无法通知或者涉嫌危害国家安全犯罪、恐怖活动犯罪通知可能有碍侦查的情形以外，应当在拘留后二十四小时以内，通知被拘留人的家属。有碍侦查的情形消失以后，应当立即通知被拘留人的家属。>
11,甲与邻居乙发生冲突致乙轻伤，甲被刑事拘留期间，甲的父亲代为与乙达成和解，公安机关决定对甲取保候审。关于甲在取保候审期间应遵守的义务，下列哪一选项是正确的？,将驾驶证件交执行机关保存,不得与乙接触,工作单位调动的，在24小时内报告执行机关,未经公安机关批准，不得进入特定的娱乐场所,C,本题考查了被取保候审人应当遵守的法定义务。根据《刑事诉讼法》第七十一条的规定，被取保候审的犯罪嫌疑人、被告人应当遵守的法定义务包括:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守的酌定义务包括以下一项或者多项:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。据此，本题中A、B、D选项属于被取保候审人应当遵守的酌定义务，C选项为被取保候审人应遵守的法定义务。C选项为正确答案。,设计一个法律情境,<《刑事诉讼法》第七十一条规定，被取保候审的犯罪嫌疑人、被告人应当遵守以下规定:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守以下一项或者多项规定:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。被取保候审的犯罪嫌疑人、被告人违反前两款规定，已交纳保证金的，没收部分或者全部保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人，或者监视居住、予以逮捕。对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。>
12,关于取保候审的程序限制，下列哪一选项是正确的,保证金应当由决定机关统一收取，存入指定银行的专门账户,对于可能判处徒刑以上刑罚的，不得采取取保候审措施,对同一犯罪嫌疑人不得同时使用保证金担保和保证人担保两种方式,对违反取保候审规定，需要予以逮捕的，不得对犯罪嫌疑人、被告人先行拘留,C,《刑事诉讼法》第七十二条第2款规定:提供保证金的人应当将保证金存入执行机关指定银行的专门账户。可见，保证金不应由决定机关收取，而是应当由执行机关收取，故A错误。第六十七条规定:人民法院、人民检察院和公安机关对有下列情形之一的犯罪嫌疑人、被告人，可以取保候审:一可能判处管制、拘役或者独立适用附加刑的二可能判处有期徒刑以上刑罚，采取取保候审不致发生社会危险性的三患有严重疾病、生活不能自理，怀孕或者正在哺乳自己婴儿的妇女，采取取保候审不致发生社会危险性的四羁押期限届满，案件尚未办结，需要采取取保候审的。可见，可能判处徒刑以上刑罚，只要采取取保不致发生社会危险性，同样可以适用取保候审，因此，B错误。第六十八条规定:人民法院、人民检察院和公安机关决定对犯罪嫌疑人、被告人取保候审，应当责令犯罪嫌疑人、被告人提出保证人或者交纳保证金。可见，保证人和保证金不可同时适用，故C正确。第七十一条规定:对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。故D错误。本题选C。,针对给定法律中的某个概念,<《刑事诉讼法》第六十七条规定，人民法院、人民检察院和公安机关对有下列情形之一的犯罪嫌疑人、被告人，可以取保候审:（一）可能判处管制、拘役或者独立适用附加刑的；（二）可能判处有期徒刑以上刑罚，采取取保候审不致发生社会危险性的；（三）患有严重疾病、生活不能自理，怀孕或者正在哺乳自己婴儿的妇女，采取取保候审不致发生社会危险性的；（四）羁押期限届满，案件尚未办结，需要采取取保候审的。取保候审由公安机关执行。> <《刑事诉讼法》第六十八条规定，人民法院、人民检察院和公安机关决定对犯罪嫌疑人、被告人取保候审，应当责令犯罪嫌疑人、被告人提出保证人或者交纳保证金。> <《刑事诉讼法》第七十一条规定，被取保候审的犯罪嫌疑人、被告人应当遵守以下规定:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守以下一项或者多项规定:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。被取保候审的犯罪嫌疑人、被告人违反前两款规定，已交纳保证金的，没收部分或者全部保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人，或者监视居住、予以逮捕。对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。> <《刑事诉讼法》第七十二条规定，取保候审的决定机关应当综合考虑保证诉讼活动正常进行的需要，被取保候审人的社会危险性，案件的性质、情节，可能判处刑罚的轻重，被取保候审人的经济状况等情况，确定保证金的数额。提供保证金的人应当将保证金存入执行机关指定银行的专门账户。>
13,关于刑期计算，下列哪一说法是不正确的,甲被判处拘役六个月，其被指定居所监视居住154天的期间折抵刑期154天,乙通过贿赂手段被暂予监外执行，其在监外执行的267天不计入执行刑期,丙在暂予监外执行期间脱逃，脱逃的78天不计入执行刑期,丁被判处管制，其判决生效前被逮捕羁押208天的期间折抵刑期416天,A,《刑事诉讼法》第七十六条规定:指定居所监视居住的期限应当折抵刑期。被判处管制的，监视居住一日折抵刑期一日被判处拘役、有期徒刑的，监视居住二日折抵刑期一日。故A错误。《刑事诉讼法》第二百六十八条第3款规定不符合暂予监外执行条件的罪犯通过贿赂等非法手段被暂予监外执行的，在监外执行的期间不计入执行刑期。罪犯在暂予监外执行期间脱逃的，脱逃的期间不计入执行刑期。故BC正确。根据刑法规定，羁押一日折抵管制二日，故D正确。,针对给定法律中的某个概念,<《刑事诉讼法》第七十六条规定，指定居所监视居住的期限应当折抵刑期。被判处管制的，监视居住一日折抵刑期一日；被判处拘役、有期徒刑的，监视居住二日折抵刑期一日。> <《刑事诉讼法》第二百六十八条规定，对暂予监外执行的罪犯，有下列情形之一的，应当及时收监:（一）发现不符合暂予监外执行条件的；（二）严重违反有关暂予监外执行监督管理规定的；（三）暂予监外执行的情形消失后，罪犯刑期未满的。对于人民法院决定暂予监外执行的罪犯应当予以收监的，由人民法院作出决定，将有关的法律文书送达公安机关、监狱或者其他执行机关。不符合暂予监外执行条件的罪犯通过贿赂等非法手段被暂予监外执行的，在监外执行的期间不计入执行刑期。罪犯在暂予监外执行期间脱逃的，脱逃的期间不计入执行刑期。罪犯在暂予监外执行期间死亡的，执行机关应当及时通知监狱或者看守所。>
14,卢某坠楼身亡，公安机关排除他杀，不予立案。但卢某的父母坚称他杀可能性大，应当立案，请求检察院监督。检察院的下列哪一做法是正确的,要求公安机关说明不立案理由,拒绝受理并向卢某的父母解释不立案原因,认为符合立案条件的，可以立案并交由公安机关侦查,认为公安机关不立案理由不能成立的，应当建议公安机关立案,A,《刑事诉讼法》第一百一十三条规定，人民检察院认为公安机关对应当立案侦查的案件而不立案侦查的，或者被害人认为公安机关对应当立案侦查的案件而不立案侦查，向人民检察院提出的，人民检察院应当要求公安机关说明不立案的理由。人民检察院认为公安机关不立案理由不能成立的，应当通知公安机关立案，公安机关接到通知后应当立案。故本题选A。,设计一个法律情境,<《刑事诉讼法》第一百一十三条规定，人民检察院认为公安机关对应当立案侦查的案件而不立案侦查的，或者被害人认为公安机关对应当立案侦查的案件而不立案侦查，向人民检察院提出的，人民检察院应当要求公安机关说明不立案的理由。人民检察院认为公安机关不立案理由不能成立的，应当通知公安机关立案，公安机关接到通知后应当立案。>
15,关于勘验、检查，下列哪一选项是正确的？,为保证侦查活动的规范性与合法性，只有侦查人员可进行勘验、检查,侦查人员进行勘验、检查，必须持有侦查机关的证明文件,检查妇女的身体，应当由女工作人员或者女医师进行,勘验、检查应当有见证人在场，勘验、检查笔录上没有见证人签名的，不得作为定案的根据,B,《刑事诉讼法》第一百二十八条规定，侦查人员对于与犯罪有关的场所、物品、人身、尸体应当进行勘验或者检查。在必要的时候，可以指派或者聘请具有专门知识的人，在侦查人员的主持下进行勘验、检查。选项A错误。《刑事诉讼法》第一百三十条规定，侦查人员执行勘验、检查，必须持有人民检察院或者公安机关的证明文件。对于检察院自侦案件，检察院是侦查机关，对于公安机关侦查的案件，公安机关是侦查机关。选项B正确。《刑事诉讼法》第一百三十二条规定，为了确定被害人、犯罪嫌疑人的某些特征、伤害情况或者生理状态，可以对人身进行检查，可以提取指纹信息，采集血液、尿液等生物样本。犯罪嫌疑人如果拒绝检查，侦查人员认为必要的时候，可以强制检查。检查妇女的身体，应当由女工作人员或者医师进行。注意这里是医师而非女医师。选项C错误。《刑事诉讼法》第一百三十三条规定，勘验、检查的情况应当写成笔录，由参加勘验、检查的人和见证人签名或者盖章。《高法解释》第八十九条规定，勘验、检查笔录存在明显不符合法律、有关规定的情形，不能作出合理解释或者说明的，不得作为定案的根据。选项D错误。,针对给定法律中的某个概念,<《刑事诉讼法》第一百二十八条规定，侦查人员对于与犯罪有关的场所、物品、人身、尸体应当进行勘验或者检查。在必要的时候，可以指派或者聘请具有专门知识的人，在侦查人员的主持下进行勘验、检查。> <《刑事诉讼法》第一百三十条规定，侦查人员执行勘验、检查，必须持有人民检察院或者公安机关的证明文件。> <《刑事诉讼法》第一百三十二条规定，为了确定被害人、犯罪嫌疑人的某些特征、伤害情况或者生理状态，可以对人身进行检查，可以提取指纹信息，采集血液、尿液等生物样本。犯罪嫌疑人如果拒绝检查，侦查人员认为必要的时候，可以强制检查。检查妇女的身体，应当由女工作人员或者医师进行。> <《刑事诉讼法》第一百三十三条  勘验、检查的情况应当写成笔录，由参加勘验、检查的人和见证人签名或者盖章。>
16,社会主义法治要通过法治的一系列原则加以体现。具有法定情形不予追究刑事责任是《刑事诉讼法》确立的一项基本原则，下列哪一案件的处理体现了这一原则？,甲涉嫌盗窃，立案后发现涉案金额400余元，公安机关决定撤销案件,乙涉嫌抢夺，检察院审查起诉后认为犯罪情节轻微，不需要判处刑罚，决定不起诉,丙涉嫌诈骗，法院审理后认为其主观上不具有非法占有他人财物的目的，作出无罪判决,丁涉嫌抢劫，检察院审查起诉后认为证据不足，决定不起诉,A,《刑事诉讼法》第十六条规定，有下列情形之一的，不追究刑事责任，已经追究的，应当撤销案件，或者不起诉，或者终止审理，或者宣告无罪:（一）情节显著轻微、危害不大，不认为是犯罪的（二）犯罪已过追诉时效期限的；（三）经特赦令免除刑罚的；（四）依照刑法告诉才处理的犯罪，没有告诉或者撤回告诉的；（五）犯罪嫌疑人、被告人死亡的；（六）其他法律规定免予追究刑事责任的。选项A正确。涉案金额未达到刑法要求的起刑点，不构成犯罪，属于法定不起诉的情形。选项B错误。在审查起诉环节，检察机认为情节显著轻微””，危害不大，根据刑法不认为是犯罪的应当作出法定不起诉的处理；而如果检察机关认为犯罪情节轻微””，依照刑法规定不需要判处刑罚或者免除刑罚的，可以作出酌定不起诉的处理。要注意二者在适用条件上的区别。选项C错误。作出无罪判决是通过开庭审理案件所作出的裁判，不属于《刑事诉讼法》第十六条规定的六种不追究刑事责任的情形。选项D错误。检察院作出的存疑不起诉（证据不足的不起诉），是指在现阶段搜集到的证据不足以支持检察院对丁提起公诉，不是不对其追究刑事责任，在日后搜集到足以证明其有罪的证据仍可以提起公诉，不属于《刑事诉讼法》第十六条规定的六种不追究刑事责任的情形。,针对给定法律中的某个概念,<《刑事诉讼法》第十六条规定，有下列情形之一的，不追究刑事责任，已经追究的，应当撤销案件，或者不起诉，或者终止审理，或者宣告无罪:（一）情节显著轻微、危害不大，不认为是犯罪的；（二）犯罪已过追诉时效期限的；（三）经特赦令免除刑罚的；（四）依照刑法告诉才处理的犯罪，没有告诉或者撤回告诉的；（五）犯罪嫌疑人、被告人死亡的；（六）其他法律规定免予追究刑事责任的。>
17,关于审判组织的说法，下列选项正确的是？,张某盗窃案，某县法院审理时，可以由审判员五人组成合议庭,秦某故意杀人案，某中级人民法院第一审时，可以由审判员和人民陪审员五人组成合议庭,高级法院审理一审案件时，可以由审判员和人民陪审员七人组成合议庭,最高人民法院审理一审案件时，可以由审判员和人民陪审员七人组成合议庭,C,A、B项，《刑事诉讼法》第一百八十三条第1款规定:“基层人民法院、中级人民法院审判第一审案件，应当由审判员三人或者由审判员和人民陪审员共三人或者七人组成合议庭进行，但是基层人民法院适用简易程序、速裁程序的案件可以由审判员一人独任审判。”因此A、B项均错误。C项，《刑事诉讼法》第一百八十三条第2款规定:“高级人民法院审判第一审案件，应当由审判员三人至七人或者由审判员和人民陪审员共三人或者七人组成合议庭进行。”因此C项正确。D项，《刑事诉讼法》第一百八十三条第3款规定:“最高人民法院审判第一审案件，应当由审判员三人至七人组成合议庭进行。”最高人民法院审判第一审案件，只能由审判员组成合议庭，不能由人民陪审员参加。因此D项错误。,针对给定法律中的某个概念,<《刑事诉讼法》第一百八十三条规定，基层人民法院、中级人民法院审判第一审案件，应当由审判员三人或者由审判员和人民陪审员共三人或者七人组成合议庭进行，但是基层人民法院适用简易程序、速裁程序的案件可以由审判员一人独任审判。高级人民法院审判第一审案件，应当由审判员三人至七人或者由审判员和人民陪审员共三人或者七人组成合议庭进行。最高人民法院审判第一审案件，应当由审判员三人至七人组成合议庭进行。人民法院审判上诉和抗诉案件，由审判员三人或者五人组成合议庭进行。合议庭的成员人数应当是单数。>
18,甲交通肇事，将行人乙撞成重伤。甲见乙受重伤，心生恐惧，刚想离开被另一行人丙看到。丙见状要求甲将乙送至医院甲不肯。丙无奈，动手将甲打伤，逼其将乙送至医院，最终乙得到救治。丙的行为应如何认定?,正当防卫,紧急避险,故意伤害罪,无因管理,A,首先，甲交通肇事将乙造成重伤后，对乙有救助的义务。如果对乙不履行救助义务而导致乙死亡的，构成不作为犯的故意杀人罪。当然，《刑法》第133条将交通肇事后因逃逸致人死亡的行为，规定为结果加重犯，如果交通肇事后逃逸，导致被害人得不到救助而死亡的，成立交通肇事因逃逸致人死亡的结果加重犯。其次，对于甲的后续的不作为犯的故意杀人罪，亦属于不法侵害””，并且是重大不法侵害。丙对于甲的不法侵害（不作为犯）实施制止行为，成立正当防卫。从这一意义上看，正当防卫所面临的不法侵害，包括不作为犯的不法侵害。对不作为的不法侵害，正当防卫的边界应该是促使作为义务人积极履行救助义务。在本案中，丙动手打伤甲，迫使其将乙送往医院，主观上是为了制止不法侵害，客观上也制止了不法侵害，且未超过必要限度，因此成立正当防卫。,设计一个法律情境,<《刑法》第二十条规定，为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。>
19,关于刑事责任能力的认定，下列哪一选项是正确的,甲先天双目失明，在大学读书期间因琐事致室友重伤。甲具有限定刑事责任能力,乙是聋哑人，长期组织数名聋哑人在公共场所扒窃。乙属于相对有刑事责任能力,丙服用安眠药陷入熟睡，致同床的婴儿被压迫窒息死亡。丙不具有刑事责任能力,丁大醉后步行回家，嫌他人小汽车挡路，将车砸坏，事后毫无记忆。丁具有完全刑事责任能力,D,又聋又哑的人或者盲人在实施犯罪时均有刑事责任能力，只不过因其刑事责任能力减弱，故可以从轻、减轻或者免除处罚。AB项错误。根据《刑法》第十八条第1款的规定，精神病人在不能辨认或者不能控制自己行为的时候造成危害结果，经法定程序鉴定确认的，不负刑事责任。本案中丙并非精神病人，其在服用安眠药之前应当预见到睡眠过程中可能导致婴儿被自己压迫窒息死亡，但是因为疏忽大意没有预见到，丙应对婴儿的死亡承担过失致人死亡罪的刑事责任。C项错误。根据《刑法》第十八条第4款的规定，醉酒的人犯罪的，应当负刑事责任。丁醉酒后故意毁坏他人汽车，应对故意毁坏财物罪负完全刑事责任，不存在从宽处罚情节。D项正确。,针对给定法律中的某个概念,<《刑法》第十九条规定，又聋又哑的人或者盲人犯罪，可以从轻、减轻或者免除处罚。> <《刑法》第十八条规定，精神病人在不能辨认或者不能控制自己行为的时候造成危害结果，经法定程序鉴定确认的，不负刑事责任，但是应当责令他的家属或者监护人严加看管和医疗；在必要的时候，由政府强制医疗。间歇性的精神病人在精神正常的时候犯罪，应当负刑事责任。尚未完全丧失辨认或者控制自己行为能力的精神病人犯罪的，应当负刑事责任，但是可以从轻或者减轻处罚。醉酒的人犯罪，应当负刑事责任。>
20,甲男（15周岁）与乙女（16周岁）因缺钱，共同绑架富商之子丙，成功索得50万元赎金。甲担心丙将来可能认出他们，提议杀丙，乙同意。乙给甲一根绳子，甲用绳子勒死丙。关于本案的分析，下列哪一选项是错误的？,甲、乙均触犯故意杀人罪，因而对故意杀人罪成立共同犯罪,甲、乙均触犯故意杀人罪，对甲以故意杀人罪论处，但对乙应以绑架罪论处,丙系死于甲之手，乙未杀害丙，故对乙虽以绑架罪定罪，但对乙不能适用”杀害被绑架人”的规定,对甲以故意杀人罪论处，对乙以绑架罪论处，与二人成立故意杀人罪的共同犯罪并不矛盾,C,甲担心丙将来可能认出他们，提议杀丙，乙同意。乙给甲一根绳子，甲用绳子勒死丙。甲实施了故意杀人的实行行为，乙实施了故意杀人的帮助行为，二人既有共同杀人的故意，也实施了共同杀人的行为，因而成立故意杀人罪的共同犯罪。A正确。乙虽然没有实施故意杀人罪的实行行为，但提供了帮助，并且有共同杀人的故意，因而与甲构成故意杀人罪的共同犯罪，对乙应当适用“杀害被绑架人”的规定。C错误。《刑法》第十七条第2款规定，已满十四周岁不满十六周岁的人，犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪的，应当负刑事责任。在本案中，甲乙共谋绑架并杀害被害人，二人在故意杀人罪的范围内成立共犯。但甲只对其故意杀人的行为负刑事责任，对绑架不负刑事责任，因此只成立故意杀人罪；对乙则以绑架罪论处，按照绑架并杀害被绑架人的规定处罚，二者并不矛盾。B、D正确。,设计一个法律情境,<《刑法》第十七条规定，已满十六周岁的人犯罪，应当负刑事责任。已满十四周岁不满十六周岁的人，犯故意杀人、故意伤害致人重伤或者死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪的，应当负刑事责任。已满十二周岁不满十四周岁的人，犯故意杀人、故意伤害罪，致人死亡或者以特别残忍手段致人重伤造成严重残疾，情节恶劣，经最高人民检察院核准追诉的，应当负刑事责任。对依照前三款规定追究刑事责任的不满十八周岁的人，应当从轻或者减轻处罚。因不满十六周岁不予刑事处罚的，责令其父母或者其他监护人加以管教；在必要的时候，依法进行专门矫治教育。> <《刑法》第二十五条规定，共同犯罪是指二人以上共同故意犯罪。二人以上共同过失犯罪，不以共同犯罪论处；应当负刑事责任的，按照他们所犯的罪分别处罚。>
21,交警甲和无业人员乙勾结，让乙告知超载司机“只交罚款一半的钱，即可优先通行””；司机交钱后，乙将交钱司机的车号报给甲，由在高速路口执勤的甲放行。二人利用此法共得32万元，乙留下10万元，余款归甲。关于本案的分析，下列哪一选项是错误的？,甲、乙构成受贿罪共犯,甲、乙构成贪污罪共犯,甲、乙构成滥用职权罪共犯,乙的受贿数额是32万元,B,《刑法》第三百八十五条第1款规定，国家工作人员利用职务上的便利，索取他人财物的，或者非法收受他人财物，为他人谋取利益的，是受贿罪。本题中，交警甲利用其职务上的便利，指使乙非法向超载司机索取钱财，成立受贿罪。另外，不具有构成身份的人与具有构成身份的人共同实施真正身份犯罪时，成立共同犯罪。因此，乙与甲成立受贿罪的共犯。A正确。《刑法》第三百八十二条第1款规定，国家工作人员利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有公共财物的，是贪污罪。贪污罪客观方面之一要求必须非法占有公共财物，而本题中交警甲和无业人员乙对超载司机收获的“罚款”此时尚未成为公共财物，属于司机的贿赂款项，因此不构成贪污罪。B错误。《刑法》第三百九十七条第一款规定，国家机关工作人员滥用职权或者玩忽职守，致使公共财产、国家和人民利益遭受重大损失的，处三年以下有期徒刑或者拘役；情节特别严重的，处三年以上七年以下有期徒刑。本法另有规定的，依照规定。本题中，甲滥用其放行车辆的权力，与无业人员乙共谋让提前给其缴纳半数罚款的超载车辆通行，致使国家损失64万元，并威胁到高速公路上的行车安全，构成滥用职权罪的共犯。C正确。按照“部分行为，全部责任”原则，在共同受贿犯罪中，应按照共同犯罪涉及的总金额来认定犯罪金额。因此，甲、乙的受贿罪金额均为32万元。D正确。,设计一个法律情境,<《刑法》第三百八十二条规定，国家工作人员利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有公共财物的，是贪污罪。受国家机关、国有公司、企业、事业单位、人民团体委托管理、经营国有财产的人员，利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有国有财物的，以贪污论。与前两款所列人员勾结，伙同贪污的，以共犯论处。> <《刑法》第三百八十五条规定，国家工作人员利用职务上的便利，索取他人财物的，或者非法收受他人财物，为他人谋取利益的，是受贿罪。国家工作人员在经济往来中，违反国家规定，收受各种名义的回扣、手续费，归个人所有的，以受贿论处。> <《刑法》第三百九十七条规定，国家机关工作人员滥用职权或者玩忽职守，致使公共财产、国家和人民利益遭受重大损失的，处三年以下有期徒刑或者拘役；情节特别严重的，处三年以上七年以下有期徒刑。本法另有规定的，依照规定。国家机关工作人员徇私舞弊，犯前款罪的，处五年以下有期徒刑或者拘役；情节特别严重的，处五年以上十年以下有期徒刑。本法另有规定的，依照规定。> <《刑法》第二十五条规定，共同犯罪是指二人以上共同故意犯罪。二人以上共同过失犯罪，不以共同犯罪论处；应当负刑事责任的，按照他们所犯的罪分别处罚。> <《刑法》第二十六条  组织、领导犯罪集团进行犯罪活动的或者在共同犯罪中起主要作用的，是主犯。三人以上为共同实施犯罪而组成的较为固定的犯罪组织，是犯罪集团。对组织、领导犯罪集团的首要分子，按照集团所犯的全部罪行处罚。对于第三款规定以外的主犯，应当按照其所参与的或者组织、指挥的全部犯罪处罚。>
22,关于自首，下列哪一选项是正确的,甲绑架他人作为人质并与警察对峙，经警察劝说放弃了犯罪。甲是在“犯罪过程中”而不是“犯罪以后”自动投案，不符合自首条件,乙交通肇事后留在现场救助伤员，并报告交管部门发生了事故。交警到达现场询问时，乙否认了自己的行为。乙不成立自首,丙故意杀人后如实交代了自己的客观罪行，司法机关根据其交代认定其主观罪过为故意，丙辩称其为过失。丙不成立自首,丁犯罪后，仅因形迹可疑而被盘问、教育，便交代了自己所犯罪行，但拒不交代真实身份。丁不属于如实供述，不成立自首,B,犯罪以后自动投案并如实供述所犯罪行的，成立自首。甲绑架他人作为人质，此时绑架罪已经成立并且既遂。甲在与警察对峙的过程中经警察劝说放弃了犯罪。属于在犯罪以后自动投案，成立自首。A项错误。自首中的投案须具有自动性，即自愿将自己至于司法机关的控制之下。乙在交通肇事后虽然留在现场救助伤员并报告交管部门发生了事故。但在交警到达现场询问时却否认了自己的行为。说明乙不想接受司法机关的控制，不成立自首。B项正确。合理的辩解不影响如实供述的认定。丙故意杀人后如实交代了自己的客观罪行。尽管丙辩称自己是过失杀人，但这并不影响丙自首的成立。C项错误。自动投案后只要如实供述犯罪成立的主要事实即可。对于拒不交代真实身份的情形，只要该身份不影响最终的定罪量刑。那么即便不交代也不影响自首的认定。本案中丁犯罪后，因形迹可疑而被盘问、教育，交代了所犯罪行，虽然拒不交代真实身份，但仍成立自首。D项错误。,针对给定法律中的某个概念,<《刑法》第六十七条规定，犯罪以后自动投案，如实供述自己的罪行的，是自首。对于自首的犯罪分子，可以从轻或者减轻处罚。其中，犯罪较轻的，可以免除处罚。被采取强制措施的犯罪嫌疑人、被告人和正在服刑的罪犯，如实供述司法机关还未掌握的本人其他罪行的，以自首论。犯罪嫌疑人虽不具有前两款规定的自首情节，但是如实供述自己罪行的，可以从轻处罚；因其如实供述自己罪行，避免特别严重后果发生的，可以减轻处罚。>
